I8D915329,གསང་སྔགས་རྡོ་རྗེ་ཐེག་པའི་སྤྱི་དོན་མདོར་བསྡུས་པ་ལེགས་བཤད་ནོར་བུའི་འོད་ཟེར།,W1AC323
IE0E1B29F,འདུལ་བ་མདོ་རྩའི་རྣམ་བཤད།,W3CN4702
I0B2BDB2A,ཆུ་ཆེན་ལོ་རྒྱུས་དཔྱད་ཡིག,W1KG20639
I413401CC,ལག་ལེན་བདུད་རྩིའི་གཏེར་སྒྲོམ། མན་ངག་བདུད་རྩིའི་བུམ་བཟང་།,W1KG24726
I2544ED42,གསང་ཐུས་ཐིག་ལེའི་བཀོད་པ།,W3PD408
I33EB0D96,ཚད་མ་རིགས་རྒྱན།,W2PD19093
IACDDA818,བསྐུ་མཉེའི་ལག་དེབ།,W30519
IAE4883DF,མེས་པོའི་དགོངས་རྒྱན། རྒྱུད་བཞིའི་འགྲེལ་བ་གཞན་ལ་ཕན་པའི་གཏེར།,W8LS19198
IFDB51DD2,དབུ་མའི་དོགས་གཅོད་རྟེན་འབྱུང་སྙིང་པོ།,W1KG15974
I1A043AC9,བདག་འཛིན་གཤགས་འདེབས་རྩ་འགྲེལ།,W1KG24218
